Tweets,Subjectivity,Polarity,TextBlob
"['rt', 'faiqaa_a', 'miniso']",0.0,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['take', 'kasi', 'nakalimutan', 'ko', 'lagyan', 'wm', 'yun', 'nga', 'planning', 'sell', 'eribong', 'ver', 'together', 'w', 'miniso', 'bare', 'bea']",0.1,0.05,1
"['trskzip', 'omg', 'mines', 'always', 'miniso', 'shld', 'probably', 'buy', 'better', 'brands']",0.5,0.5,1
"['nuguchae', 'problem', 'always', 'buy', 'earphones', 'miniso', 'tas', 'mostly', 'one', 'month', 'lang', 'yung', 'span', 'niya', 'saken', 'like', 'im', 'pabaya', 'naman']",0.5,0.5,1
"['touchwood', 'welcomes', 'japaneseinspired', 'lifestyle', 'store', 'miniso', 'time', 'bank', 'holiday', 'read']",0.0,0.0,0
"['hot', 'take', 'miniso', 'trash']",0.8500000000000001,0.25,1
"['rt', 'kyvo_gvr', 'wts', 'lfb', 'help', 'rt', '𓂋', 'xiumin', 'exoplanet', 'miniso', 'photocard', 'payo', 'onhand', 'free', 'shipping', 'flash', 'express', 'shipout', 'ev']",0.8,0.4,1
"['miniso', 'garden', 'mirror']",0.0,0.0,0
"['rt', 'minisoke', 'ahits', 'monday', 'meet', 'update', 'massively', 'restocked', 'branches', 'back', 'stocks', 'new', 'ins', 'visi']",0.48484848484848486,0.04545454545454545,1
"['rt', 'minisoke', 'miniso', 'everything', 'dont', 'think', 'need', 'visit', 'see', 'whats', 'favourite', 'item', 'us', 'lifeis']",0.0,0.0,0
"['rt', 'amazonmallpk', 'get', 'beautiful', 'handy', 'crossbody', 'bags', 'rs', 'miniso', 'amazon', 'outlet', 'mall', 'amazonoutletmall']",0.95,0.725,1
"['rt', 'amazonmallpk', 'get', 'beautiful', 'handy', 'crossbody', 'bags', 'rs', 'miniso', 'amazon', 'outlet', 'mall', 'amazonoutletmall']",0.95,0.725,1
"['rt', 'amazonmallpk', 'get', 'beautiful', 'handy', 'crossbody', 'bags', 'rs', 'miniso', 'amazon', 'outlet', 'mall', 'amazonoutletmall']",0.95,0.725,1
"['rt', 'amazonmallpk', 'get', 'beautiful', 'handy', 'crossbody', 'bags', 'rs', 'miniso', 'amazon', 'outlet', 'mall', 'amazonoutletmall']",0.95,0.725,1
"['rt', 'amazonmallpk', 'get', 'beautiful', 'handy', 'crossbody', 'bags', 'rs', 'miniso', 'amazon', 'outlet', 'mall', 'amazonoutletmall']",0.95,0.725,1
"['get', 'beautiful', 'handy', 'crossbody', 'bags', 'rs', 'miniso', 'amazon', 'outlet', 'mall']",0.95,0.725,1
"['rt', 'cfc_saada', 'faiqaa_a', 'coming', 'miniso']",0.0,0.0,0
"['rt', 'faiqaa_a', 'miniso']",0.0,0.0,0
"['miniso', 'beach', 'dancing']",0.0,0.0,0
"['miniso', 'british', 'pear']",0.0,0.0,0
"['hrfrskz', 'im', 'probably', 'gon', 'na', 'stand', 'right', 'miniso', 'buying', 'plushies', 'hahhahaha']",0.5357142857142857,0.2857142857142857,1
"['miniso', 'official', 'parfum', 'wanita', 'faith', 'lady', 'link']",0.0,0.0,0
"['rt', 'faiqaa_a', 'miniso']",0.0,0.0,0
"['miniso', 'harmony', 'pure']",0.5,0.21428571428571427,1
"['faiqaa_a', 'coming', 'miniso']",0.0,0.0,0
"['rt', 'faiqaa_a', 'miniso']",0.0,0.0,0
"['baridura', 'miniso']",0.0,0.0,0
['miniso'],0.0,0.0,0
"['miniso', 'body', 'mist', 'ml', 'fragrance', 'spray', 'tahan', 'lama', 'natural', 'series', 'bisa', 'gratong', 'live']",0.45,0.11818181818181818,1
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['every', 'time', 'im', 'abt', 'store', 'sells', 'always', 'basic', 'ones', 'left', 'rlly', 'obscure', 'things']",0.0625,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['miniso', 'would', 'favorite', 'unfortunately', 'dont']",1.0,0.0,0
"['miniso', 'x', 'toy', 'story', 'collection', 'brings', 'together', 'japanese', 'lifestyle', 'retailer', 'young', 'nostalgic']",0.4666666666666666,-0.13333333333333333,-1
"['coolboy_joel', 'miniso', 'similar', 'looking', 'ones', 'something']",0.4,0.0,0
"['super', 'excited', 'new', 'miniso', 'store', 'open', 'mill', 'lane', 'arcade', 'touchwood', 'solihull', 'keep']",0.5928030303030303,0.2111742424242424,1
"['miniso', 'official', 'shoulder', 'tas', 'scarf']",0.0,0.0,0
"['rt', 'kyvo_gvr', 'wts', 'lfb', 'help', 'rt', '𓂋', 'xiumin', 'exoplanet', 'miniso', 'photocard', 'payo', 'onhand', 'free', 'shipping', 'flash', 'express', 'shipout', 'ev']",0.8,0.4,1
"['retail', 'bulletin', 'breaking', 'news', 'miniso', 'strengthens', 'presence', 'european', 'markets', 'new', 'naples', 'store']",0.22727272727272727,0.06818181818181818,1
"['girl', 'missing', 'fav', 'umbrella', 'bcs', 'miniso', 'wont', 'sell', 'anymore']",0.05,-0.2,-1
"['rt', 'allabout_atz', 'ateez', 'cawaii', 'men', 'ateez', '에이티즈', 'ateezofficial']",0.0,0.0,0
"['day', 'spent', 'sewing', 'good', 'day', 'checkout', 'miniso', 'kenyas', 'color', 'needlework', 'box', 'set', 'easy', 'use']",0.5111111111111112,0.3444444444444444,1
"['rt', 'kyvo_gvr', 'wts', 'lfb', 'help', 'rt', '𓂋', 'xiumin', 'exoplanet', 'miniso', 'photocard', 'payo', 'onhand', 'free', 'shipping', 'flash', 'express', 'shipout', 'ev']",0.8,0.4,1
"['askrl', 'choose', 'fighter', 'mr', 'diy', 'miniso']",0.0,0.0,0
"['meripyarisooo', 'miniso', 'bottle', 'collection']",0.0,0.0,0
"['cryovishap', 'ooohhh', 'right', 'daisominiso', 'cases', 'good', 'idea']",0.5678571428571428,0.4928571428571428,1
"['rt', '_khunby', 'miniso', 'backpack', 'carried', 'handbag', 'backpack', 'n', 'kindly', 'dm', 'order', 'nb', 'sell', 'thrift', 'bags']",0.9,0.6,1
"['rt', 'kyvo_gvr', 'wts', 'lfb', 'help', 'rt', '𓂋', 'xiumin', 'exoplanet', 'miniso', 'photocard', 'payo', 'onhand', 'free', 'shipping', 'flash', 'express', 'shipout', 'ev']",0.8,0.4,1
"['n', 'figure', 'miniso']",0.0,0.0,0
"['rt', 'arramiiidee', 'go', 'miniso', 'blenco', 'gift', 'shop', 'dont', 'find', 'transparent', 'glass', 'water', 'bottle', 'says', 'something', 'cool']",0.65,0.35,1
"['miniso', 'corgi', 'plush', 'cant', 'get', 'head']",0.0,0.0,0
"['miniso', 'everything', 'dont', 'think', 'need', 'visit', 'see', 'whats', 'favourite', 'item', 'u']",0.0,0.0,0
"['rt', 'answrhwa', 'thinking', 'abt', 'seonghwa']",0.0,0.0,0
"['gossamergown', 'miniso', 'using', 'mine', 'months', 'theyre', 'cheap']",0.7,0.4,1
"['rt', 'santaro', 'ateez']",0.0,0.0,0
"['let', 'sun', 'fucking', 'shine', 'please', 'miniso', 'boy', 'missing', 'ill', 'another', 'shoot', 'locate', 'loki']",0.6166666666666667,-0.43333333333333335,-1
"['rt', 'kyvo_gvr', 'wts', 'lfb', 'help', 'rt', '𓂋', 'xiumin', 'exoplanet', 'miniso', 'photocard', 'payo', 'onhand', 'free', 'shipping', 'flash', 'express', 'shipout', 'ev']",0.8,0.4,1
"['rt', 'kyvo_gvr', 'wts', 'lfb', 'help', 'rt', '𓂋', 'xiumin', 'exoplanet', 'miniso', 'photocard', 'payo', 'onhand', 'free', 'shipping', 'flash', 'express', 'shipout', 'ev']",0.8,0.4,1
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['keep', 'thinking', 'fan', 'found', 'miniso', 'fools', 'thinking', 'actual', 'pc', 'case', 'fan', 'actu']",0.1,0.0,0
"['stoniminimoni', 'always', 'get', 'mine', 'h', 'mart', 'lotte', 'miniso']",0.0,0.0,0
"['rt', 'myloveatz', 'thread', 'seonghwa', 'saying', 'noona', 'make', 'older', 'fans', 'accepted', 'loved', 'seonghwa', 'parkseonghwa', '성화', '박성화']",0.5666666666666667,0.4333333333333333,1
"['rt', 'uremymoonjunhui', 'imagine', 'junhui', 'black', 'hair']",0.43333333333333335,-0.16666666666666666,-1
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['lostikins', 'bought', 'mine', 'miniso']",0.0,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['btppubliceye', 'halasoortrfps', 'parking', 'footpath', 'indiranagar', 'ft', 'road', 'outside', 'bloomrooms', 'bumblebee', 'miniso']",0.05,0.0,0
"['rt', 'kyvo_gvr', 'wts', 'lfb', 'help', 'rt', '𓂋', 'xiumin', 'exoplanet', 'miniso', 'photocard', 'payo', 'onhand', 'free', 'shipping', 'flash', 'express', 'shipout', 'ev']",0.8,0.4,1
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['go', 'miniso', 'blenco', 'gift', 'shop', 'dont', 'find', 'transparent', 'glass', 'water', 'bottle', 'says', 'something', 'coo']",0.0,0.0,0
"['rt', 'kyvo_gvr', 'wts', 'lfb', 'help', 'rt', '𓂋', 'xiumin', 'exoplanet', 'miniso', 'photocard', 'payo', 'onhand', 'free', 'shipping', 'flash', 'express', 'shipout', 'ev']",0.8,0.4,1
"['rt', 'kyvo_gvr', 'wts', 'lfb', 'help', 'rt', '𓂋', 'xiumin', 'exoplanet', 'miniso', 'photocard', 'payo', 'onhand', 'free', 'shipping', 'flash', 'express', 'shipout', 'ev']",0.8,0.4,1
"['rt', 'kyvo_gvr', 'wts', 'lfb', 'help', 'rt', '𓂋', 'xiumin', 'exoplanet', 'miniso', 'photocard', 'payo', 'onhand', 'free', 'shipping', 'flash', 'express', 'shipout', 'ev']",0.8,0.4,1
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['bro', 'somebody', 'drew', 'riffler', 'pony', 'miniso', 'sketch', 'pad']",0.0,0.0,0
"['rt', 'kyvo_gvr', 'wts', 'lfb', 'help', 'rt', '𓂋', 'xiumin', 'exoplanet', 'miniso', 'photocard', 'payo', 'onhand', 'free', 'shipping', 'flash', 'express', 'shipout', 'ev']",0.8,0.4,1
"['rt', 'kyvo_gvr', 'wts', 'lfb', 'help', 'rt', '𓂋', 'xiumin', 'exoplanet', 'miniso', 'photocard', 'payo', 'onhand', 'free', 'shipping', 'flash', 'express', 'shipout', 'ev']",0.8,0.4,1
"['rt', 'kyvo_gvr', 'wts', 'lfb', 'help', 'rt', '𓂋', 'xiumin', 'exoplanet', 'miniso', 'photocard', 'payo', 'onhand', 'free', 'shipping', 'flash', 'express', 'shipout', 'ev']",0.8,0.4,1
"['rt', 'kyvo_gvr', 'wts', 'lfb', 'help', 'rt', '𓂋', 'xiumin', 'exoplanet', 'miniso', 'photocard', 'payo', 'onhand', 'free', 'shipping', 'flash', 'express', 'shipout', 'ev']",0.8,0.4,1
"['miniso', 'closed', 'bev', 'center', 'wtf', 'exciting', 'part', 'prep', 'days']",0.5,-0.09999999999999999,-1
"['rt', 'kyvo_gvr', 'wts', 'lfb', 'help', 'rt', '𓂋', 'xiumin', 'exoplanet', 'miniso', 'photocard', 'payo', 'onhand', 'free', 'shipping', 'flash', 'express', 'shipout', 'ev']",0.8,0.4,1
"['rt', 'kyvo_gvr', 'wts', 'lfb', 'help', 'rt', '𓂋', 'xiumin', 'exoplanet', 'miniso', 'photocard', 'payo', 'onhand', 'free', 'shipping', 'flash', 'express', 'shipout', 'ev']",0.8,0.4,1
"['rt', 'kyvo_gvr', 'wts', 'lfb', 'help', 'rt', '𓂋', 'xiumin', 'exoplanet', 'miniso', 'photocard', 'payo', 'onhand', 'free', 'shipping', 'flash', 'express', 'shipout', 'ev']",0.8,0.4,1
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['fuck', 'miniso', 'minion', 'stuff', 'expensive']",0.6499999999999999,-0.45,-1
"['rt', 'allabout_atz', 'cosmic', 'cowboy', 'unit', 'amp', 'group', 'preview']",0.0,0.0,0
"['cigarjjk', 'got', 'miniso']",0.0,0.0,0
"['rt', 'ohshi', 'look', 'found', 'fb', 'feed', 'cool', 'woozi', 'masterpiece']",0.65,0.35,1
"['rt', 'kyvo_gvr', 'wts', 'lfb', 'help', 'rt', '𓂋', 'xiumin', 'exoplanet', 'miniso', 'photocard', 'payo', 'onhand', 'free', 'shipping', 'flash', 'express', 'shipout', 'ev']",0.8,0.4,1
"['walked', 'miniso', 'lalisa', 'sounding', 'ngl', 'pretty', 'exciting']",0.9,0.275,1
"['rt', 'shotaniwonu', 'yall', 'work']",0.0,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['dang', 'miniso', 'went', 'houston', 'doesnt', 'sanrio', 'stuff', 'yet']",0.0,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['rt', 'lj_jooyeon', 'hoshi', 'carats']",0.0,0.0,0
"['rt', 'wooluxe', 'holy', 'trinity']",0.0,0.0,0
"['rt', 'heeduie', 'even', 'ur', 'bias', 'know', 'everyone', 'loves', 'boo', 'seungkwan']",0.0,0.0,0
"['love', 'men', 'crazy']",0.75,-0.04999999999999999,-1
"['rt', 'pledis_', 'seventeen', '세븐틴', 'hot', 'official', 'teaser', 'pm', 'kst', 'et', 'seventeen']",0.8500000000000001,0.25,1
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['miniso', 'gon', 'na', 'make', 'foot', 'tall', 'strawberry', 'plushie']",0.0,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['ufoboy', 'wdzy', 'like', 'store', 'next', 'miniso']",0.0,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['btw', 'lapdhq', 'amp', 'lacofd', 'show', 'amp', 'share', 'lrrrr', 'target', 'cvspharmacy', 'riteaid', 'walgreens', 'gamestop']",0.0,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['rt', 'kyvo_gvr', 'wts', 'lfb', 'help', 'rt', '𓂋', 'xiumin', 'exoplanet', 'miniso', 'photocard', 'payo', 'onhand', 'free', 'shipping', 'flash', 'express', 'shipout', 'ev']",0.8,0.4,1
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['rt', 'kyvo_gvr', 'wts', 'lfb', 'help', 'rt', '𓂋', 'xiumin', 'exoplanet', 'miniso', 'photocard', 'payo', 'onhand', 'free', 'shipping', 'flash', 'express', 'shipout', 'ev']",0.8,0.4,1
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['still', 'mad', 'didnt', 'go', 'miniso', 'back', 'spain', 'theres', 'literally', 'none']",0.5,-0.3125,-1
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['miniso', 'loml', 'best', 'store', 'ever']",0.3,1.0,1
"['rt', 'rfmx', 'anyone', 'else', 'love', 'seeing', 'pokémon', 'merchandise', 'random', 'store', 'whatever', 'get', 'cutest', 'selection', 'pokémon']",0.55,0.0,0
"['anyone', 'else', 'love', 'seeing', 'pokémon', 'merchandise', 'random', 'store', 'whatever', 'get', 'cutest', 'selection']",0.55,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['went', 'miniso', 'couple', 'days', 'back', 'liked', 'perfume', 'much', 'rs', 'today', 'got', 'perfum']",0.3333333333333333,0.26666666666666666,1
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['rt', 'kyvo_gvr', 'wts', 'lfb', 'help', 'rt', '𓂋', 'xiumin', 'exoplanet', 'miniso', 'photocard', 'payo', 'onhand', 'free', 'shipping', 'flash', 'express', 'shipout', 'ev']",0.8,0.4,1
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['pakistan', 'miniso', 'hate', 'seeing', 'happy', 'stupid', 'marvel', 'shit']",0.925,-0.25,-1
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['rt', 'kyvo_gvr', 'wts', 'lfb', 'help', 'rt', '𓂋', 'xiumin', 'exoplanet', 'miniso', 'photocard', 'payo', 'onhand', 'free', 'shipping', 'flash', 'express', 'shipout', 'ev']",0.8,0.4,1
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['rt', 'kyvo_gvr', 'wts', 'lfb', 'help', 'rt', '𓂋', 'xiumin', 'exoplanet', 'miniso', 'photocard', 'payo', 'onhand', 'free', 'shipping', 'flash', 'express', 'shipout', 'ev']",0.8,0.4,1
"['rt', 'kyvo_gvr', 'wts', 'lfb', 'help', 'rt', '𓂋', 'xiumin', 'exoplanet', 'miniso', 'photocard', 'payo', 'onhand', 'free', 'shipping', 'flash', 'express', 'shipout', 'ev']",0.8,0.4,1
"['wana____', 'miniso', 'taught', 'shege', 'thats', 'lool']",0.0,0.0,0
"['rt', 'kyvo_gvr', 'wts', 'lfb', 'help', 'rt', '𓂋', 'xiumin', 'exoplanet', 'miniso', 'photocard', 'payo', 'onhand', 'free', 'shipping', 'flash', 'express', 'shipout', 'ev']",0.8,0.4,1
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['rt', 'kyvo_gvr', 'wts', 'lfb', 'help', 'rt', '𓂋', 'xiumin', 'exoplanet', 'miniso', 'photocard', 'payo', 'onhand', 'free', 'shipping', 'flash', 'express', 'shipout', 'ev']",0.8,0.4,1
"['gay', 'pins', 'miniso', 'slay']",0.5833333333333334,0.4166666666666667,1
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
